ID,대출등급
TEST_00110,1
TEST_00111,2
TEST_00112,2
TEST_00113,1
TEST_00114,3
TEST_00115,3
TEST_00116,1
TEST_00117,2
TEST_00118,1
TEST_00119,5
TEST_00120,2
TEST_00121,1
TEST_00122,2
TEST_00123,1
TEST_00124,3
TEST_00125,1
TEST_00126,4
TEST_00127,2
TEST_00128,0
TEST_00129,4
TEST_00130,1
TEST_00131,0
TEST_00132,3
TEST_00133,1
TEST_00134,1
TEST_00135,1
TEST_00136,1
TEST_00137,3
TEST_00138,2
TEST_00139,5
TEST_00140,2
TEST_00141,0
TEST_00142,1
TEST_00143,3
TEST_00144,1
TEST_00145,0
TEST_00146,3
TEST_00147,2
TEST_00148,0
TEST_00149,0
TEST_00150,3
TEST_00151,2
TEST_00152,3
TEST_00153,4
TEST_00154,2
TEST_00155,2
TEST_00156,1
TEST_00157,3
TEST_00158,4
TEST_00159,1
TEST_00160,1
TEST_00161,2
TEST_00162,3
TEST_00163,2
TEST_00164,2
TEST_00165,6
TEST_00166,2
TEST_00167,4
TEST_00168,3
TEST_00169,5
TEST_00170,5
TEST_00171,2
TEST_00172,3
TEST_00173,2
TEST_00174,2
TEST_00175,2
TEST_00176,2
TEST_00177,3
TEST_00178,1
TEST_00179,1
TEST_00180,2
TEST_00181,2
TEST_00182,1
TEST_00183,0
TEST_00184,0
TEST_00185,1
TEST_00186,1
TEST_00187,0
TEST_00188,3
TEST_00189,6
TEST_00190,2
TEST_00191,4
TEST_00192,3
TEST_00193,3
TEST_00194,2
TEST_00195,2
TEST_00196,1
TEST_00197,1
TEST_00198,1
TEST_00199,0
TEST_00200,1
TEST_00201,2
TEST_00202,0
TEST_00203,1
TEST_00204,2
TEST_00205,2
TEST_00206,2
TEST_00207,3
TEST_00208,2
TEST_00209,3
TEST_00210,5
TEST_00211,1
TEST_00212,1
TEST_00213,1
TEST_00214,1
TEST_00215,1
TEST_00216,3
TEST_00217,1
TEST_00218,4
TEST_00219,2
TEST_00220,1
TEST_00221,1
TEST_00222,1
TEST_00223,2
TEST_00224,1
TEST_00225,0
TEST_00226,3
TEST_00227,3
TEST_00228,2
TEST_00229,2
TEST_00230,0
TEST_00231,4
TEST_00232,3
TEST_00233,0
TEST_00234,2
TEST_00235,2
TEST_00236,1
TEST_00237,2
TEST_00238,2
TEST_00239,0
TEST_00240,0
TEST_00241,1
TEST_00242,1
TEST_00243,0
TEST_00244,1
TEST_00245,1
TEST_00246,4
TEST_00247,1
TEST_00248,2
TEST_00249,2
TEST_00250,3
TEST_00251,1
TEST_00252,1
TEST_00253,1
TEST_00254,2
TEST_00255,2
TEST_00256,1
TEST_00257,1
TEST_00258,1
TEST_00259,0
TEST_00260,2
TEST_00261,1
TEST_00262,3
TEST_00263,1
TEST_00264,0
TEST_00265,1
TEST_00266,2
TEST_00267,5
TEST_00268,0
TEST_00269,3
TEST_00270,2
TEST_00271,0
TEST_00272,1
TEST_00273,2
TEST_00274,4
TEST_00275,2
TEST_00276,0
TEST_00277,1
TEST_00278,2
TEST_00279,5
TEST_00280,3
TEST_00281,3
TEST_00282,2
TEST_00283,0
TEST_00284,3
TEST_00285,1
TEST_00286,2
TEST_00287,2
TEST_00288,0
TEST_00289,2
TEST_00290,2
TEST_00291,0
TEST_00292,1
TEST_00293,1
TEST_00294,4
TEST_00295,0
TEST_00296,0
TEST_00297,1
TEST_00298,5
TEST_00299,0
TEST_00300,2
TEST_00301,0
TEST_00302,1
TEST_00303,2
TEST_00304,1
TEST_00305,1
TEST_00306,2
TEST_00307,1
TEST_00308,4
TEST_00309,3
TEST_00310,3
TEST_00311,1
TEST_00312,2
TEST_00313,3
TEST_00314,1
TEST_00315,0
TEST_00316,3
TEST_00317,0
TEST_00318,1
TEST_00319,3
TEST_00320,3
TEST_00321,1
TEST_00322,2
TEST_00323,3
TEST_00324,1
TEST_00325,2
TEST_00326,0
TEST_00327,1
TEST_00328,3
TEST_00329,4
TEST_00330,0
TEST_00331,2
TEST_00332,4
TEST_00333,2
TEST_00334,4
TEST_00335,0
TEST_00336,1
TEST_00337,0
TEST_00338,3
TEST_00339,2
TEST_00340,1
TEST_00341,3
TEST_00342,2
TEST_00343,1
TEST_00344,2
TEST_00345,2
TEST_00346,1
TEST_00347,3
TEST_00348,4
TEST_00349,0
TEST_00350,2
TEST_00351,0
TEST_00352,2
TEST_00353,2
TEST_00354,1
TEST_00355,3
TEST_00356,2
TEST_00357,2
TEST_00358,2
TEST_00359,0
TEST_00360,4
TEST_00361,1
TEST_00362,4
TEST_00363,0
TEST_00364,1
TEST_00365,0
TEST_00366,1
TEST_00367,1
TEST_00368,2
TEST_00369,3
TEST_00370,4
TEST_00371,1
TEST_00372,3
TEST_00373,0
TEST_00374,3
TEST_00375,2
TEST_00376,0
TEST_00377,0
TEST_00378,3
TEST_00379,0
TEST_00380,4
TEST_00381,0
TEST_00382,6
TEST_00383,0
TEST_00384,2
TEST_00385,0
TEST_00386,2
TEST_00387,1
TEST_00388,1
TEST_00389,0
TEST_00390,4
TEST_00391,2
TEST_00392,1
TEST_00393,0
TEST_00394,1
TEST_00395,4
TEST_00396,1
TEST_00397,1
TEST_00398,1
TEST_00399,0
TEST_00400,1
TEST_00401,5
TEST_00402,0
TEST_00403,2
TEST_00404,1
TEST_00405,0
TEST_00406,1
TEST_00407,0
TEST_00408,0
TEST_00409,0
TEST_00410,1
TEST_00411,0
TEST_00412,1
TEST_00413,0
TEST_00414,2
TEST_00415,2
TEST_00416,3
TEST_00417,3
TEST_00418,1
TEST_00419,2
TEST_00420,3
TEST_00421,3
TEST_00422,2
TEST_00423,4
TEST_00424,2
TEST_00425,1
TEST_00426,3
TEST_00427,1
TEST_00428,1
TEST_00429,0
TEST_00430,0
TEST_00431,2
TEST_00432,1
TEST_00433,3
TEST_00434,1
TEST_00435,1
TEST_00436,0
TEST_00437,1
TEST_00438,2
TEST_00439,1
TEST_00440,6
TEST_00441,5
TEST_00442,2
TEST_00443,1
TEST_00444,1
TEST_00445,1
TEST_00446,1
TEST_00447,4
TEST_00448,2
TEST_00449,1
TEST_00450,4
TEST_00451,2
TEST_00452,2
TEST_00453,4
TEST_00454,1
TEST_00455,3
TEST_00456,4
TEST_00457,1
TEST_00458,3
TEST_00459,2
TEST_00460,3
TEST_00461,3
TEST_00462,2
TEST_00463,2
TEST_00464,0
TEST_00465,0
TEST_00466,1
TEST_00467,1
TEST_00468,1
TEST_00469,0
TEST_00470,0
TEST_00471,2
TEST_00472,3
TEST_00473,2
TEST_00474,1
TEST_00475,0
TEST_00476,1
TEST_00477,1
TEST_00478,2
TEST_00479,1
TEST_00480,0
TEST_00481,2
TEST_00482,3
TEST_00483,2
TEST_00484,0
TEST_00485,2
TEST_00486,1
TEST_00487,4
TEST_00488,4
TEST_00489,2
TEST_00490,3
TEST_00491,2
TEST_00492,1
TEST_00493,1
TEST_00494,1
TEST_00495,2
TEST_00496,1
TEST_00497,2
TEST_00498,2
TEST_00499,3
TEST_00500,3
TEST_00501,1
TEST_00502,0
TEST_00503,2
TEST_00504,0
TEST_00505,1
TEST_00506,2
TEST_00507,1
TEST_00508,2
TEST_00509,4
TEST_00510,2
TEST_00511,2
TEST_00512,4
TEST_00513,1
TEST_00514,1
TEST_00515,2
TEST_00516,0
TEST_00517,1
TEST_00518,4
TEST_00519,1
TEST_00520,1
TEST_00521,1
TEST_00522,1
TEST_00523,2
TEST_00524,0
TEST_00525,0
TEST_00526,1
TEST_00527,4
TEST_00528,1
TEST_00529,2
TEST_00530,3
TEST_00531,3
TEST_00532,3
TEST_00533,1
TEST_00534,0
TEST_00535,1
TEST_00536,3
TEST_00537,1
TEST_00538,0
TEST_00539,2
TEST_00540,1
TEST_00541,1
TEST_00542,1
TEST_00543,2
TEST_00544,2
TEST_00545,2
TEST_00546,2
TEST_00547,3
TEST_00548,4
TEST_00549,2
TEST_00550,3
TEST_00551,0
TEST_00552,1
TEST_00553,0
TEST_00554,1
TEST_00555,6
TEST_00556,1
TEST_00557,0
TEST_00558,0
TEST_00559,0
TEST_00560,3
TEST_00561,2
TEST_00562,1
TEST_00563,2
TEST_00564,3
TEST_00565,3
TEST_00566,1
TEST_00567,0
TEST_00568,0
TEST_00569,1
TEST_00570,2
TEST_00571,1
TEST_00572,1
TEST_00573,3
TEST_00574,2
TEST_00575,1
TEST_00576,2
TEST_00577,1
TEST_00578,1
TEST_00579,0
TEST_00580,0
TEST_00581,2
TEST_00582,1
TEST_00583,0
TEST_00584,2
TEST_00585,3
TEST_00586,2
TEST_00587,2
TEST_00588,0
TEST_00589,4
TEST_00590,2
TEST_00591,2
TEST_00592,2
TEST_00593,3
TEST_00594,1
TEST_00595,2
TEST_00596,2
TEST_00597,3
TEST_00598,1
TEST_00599,2
TEST_00600,0
TEST_00601,1
TEST_00602,1
TEST_00603,2
TEST_00604,3
TEST_00605,2
TEST_00606,2
TEST_00607,4
TEST_00608,5
TEST_00609,1
TEST_00610,0
TEST_00611,1
TEST_00612,1
TEST_00613,2
TEST_00614,3
TEST_00615,4
TEST_00616,2
TEST_00617,3
TEST_00618,4
TEST_00619,2
TEST_00620,4
TEST_00621,0
TEST_00622,2
TEST_00623,0
TEST_00624,2
TEST_00625,1
TEST_00626,1
TEST_00627,2
TEST_00628,0
TEST_00629,4
TEST_00630,0
TEST_00631,1
TEST_00632,1
TEST_00633,1
TEST_00634,1
TEST_00635,2
TEST_00636,4
TEST_00637,4
TEST_00638,1
TEST_00639,0
TEST_00640,3
TEST_00641,2
TEST_00642,2
TEST_00643,2
TEST_00644,1
TEST_00645,2
TEST_00646,3
TEST_00647,1
TEST_00648,1
TEST_00649,3
TEST_00650,0
TEST_00651,2
TEST_00652,0
TEST_00653,2
TEST_00654,1
TEST_00655,0
TEST_00656,2
TEST_00657,2
TEST_00658,0
TEST_00659,1
TEST_00660,3
TEST_00661,3
TEST_00662,1
TEST_00663,5
TEST_00664,1
TEST_00665,0
TEST_00666,1
TEST_00667,4
TEST_00668,2
TEST_00669,2
TEST_00670,3
TEST_00671,3
TEST_00672,1
TEST_00673,2
TEST_00674,3
TEST_00675,1
TEST_00676,2
TEST_00677,2
TEST_00678,0
TEST_00679,1
TEST_00680,0
TEST_00681,1
TEST_00682,3
TEST_00683,0
TEST_00684,0
TEST_00685,2
TEST_00686,2
TEST_00687,3
TEST_00688,3
TEST_00689,2
TEST_00690,4
TEST_00691,1
TEST_00692,1
TEST_00693,5
TEST_00694,1
TEST_00695,0
TEST_00696,1
TEST_00697,3
TEST_00698,1
TEST_00699,4
TEST_00700,3
TEST_00701,1
TEST_00702,3
TEST_00703,4
TEST_00704,3
TEST_00705,1
TEST_00706,3
TEST_00707,0
TEST_00708,0
TEST_00709,2
TEST_00710,3
TEST_00711,2
TEST_00712,1
TEST_00713,1
TEST_00714,1
TEST_00715,2
TEST_00716,1
TEST_00717,1
TEST_00718,0
TEST_00719,1
TEST_00720,1
TEST_00721,4
TEST_00722,2
TEST_00723,4
TEST_00724,3
TEST_00725,2
TEST_00726,1
TEST_00727,1
TEST_00728,0
TEST_00729,4
TEST_00730,0
TEST_00731,3
TEST_00732,4
TEST_00733,2
TEST_00734,2
TEST_00735,4
TEST_00736,4
TEST_00737,0
TEST_00738,4
TEST_00739,1
TEST_00740,1
TEST_00741,3
TEST_00742,3
TEST_00743,2
TEST_00744,0
TEST_00745,3
TEST_00746,1
TEST_00747,1
TEST_00748,4
TEST_00749,2
TEST_00750,1
TEST_00751,1
TEST_00752,0
TEST_00753,0
TEST_00754,0
TEST_00755,0
TEST_00756,0
TEST_00757,1
TEST_00758,1
TEST_00759,4
TEST_00760,1
TEST_00761,1
TEST_00762,3
TEST_00763,1
TEST_00764,2
TEST_00765,1
TEST_00766,2
TEST_00767,1
TEST_00768,4
TEST_00769,0
TEST_00770,2
TEST_00771,0
TEST_00772,2
TEST_00773,3
TEST_00774,2
TEST_00775,3
TEST_00776,3
TEST_00777,1
TEST_00778,0
TEST_00779,0
TEST_00780,2
TEST_00781,2
TEST_00782,2
TEST_00783,3
TEST_00784,2
TEST_00785,0
TEST_00786,0
TEST_00787,1
TEST_00788,4
TEST_00789,0
TEST_00790,1
TEST_00791,1
TEST_00792,2
TEST_00793,2
TEST_00794,3
TEST_00795,4
TEST_00796,2
TEST_00797,2
TEST_00798,0
TEST_00799,1
TEST_00800,5
TEST_00801,2
TEST_00802,1
TEST_00803,1
TEST_00804,4
TEST_00805,1
TEST_00806,1
TEST_00807,2
TEST_00808,1
TEST_00809,1
TEST_00810,1
TEST_00811,2
TEST_00812,3
TEST_00813,3
TEST_00814,3
TEST_00815,0
TEST_00816,4
TEST_00817,1
TEST_00818,2
TEST_00819,2
TEST_00820,4
TEST_00821,2
TEST_00822,3
TEST_00823,1
TEST_00824,0
TEST_00825,0
TEST_00826,2
TEST_00827,3
TEST_00828,2
TEST_00829,1
TEST_00830,0
TEST_00831,4
TEST_00832,2
TEST_00833,0
TEST_00834,1
TEST_00835,1
TEST_00836,4
TEST_00837,3
TEST_00838,1
TEST_00839,1
TEST_00840,0
TEST_00841,2
TEST_00842,2
TEST_00843,1
TEST_00844,1
TEST_00845,1
TEST_00846,1
TEST_00847,0
TEST_00848,1
TEST_00849,1
TEST_00850,1
TEST_00851,2
TEST_00852,2
TEST_00853,5
TEST_00854,1
TEST_00855,2
TEST_00856,3
TEST_00857,0
TEST_00858,4
TEST_00859,2
TEST_00860,1
TEST_00861,1
TEST_00862,4
TEST_00863,0
TEST_00864,2
TEST_00865,1
TEST_00866,2
TEST_00867,2
TEST_00868,2
TEST_00869,3
TEST_00870,2
TEST_00871,1
TEST_00872,2
TEST_00873,1
TEST_00874,0
TEST_00875,1
TEST_00876,1
TEST_00877,2
TEST_00878,1
TEST_00879,1
TEST_00880,2
TEST_00881,3
TEST_00882,0
TEST_00883,2
TEST_00884,0
TEST_00885,3
TEST_00886,1
TEST_00887,1
TEST_00888,3
TEST_00889,1
TEST_00890,0
TEST_00891,2
TEST_00892,0
TEST_00893,2
TEST_00894,3
TEST_00895,4
TEST_00896,1
TEST_00897,4
TEST_00898,3
TEST_00899,2
TEST_00900,5
TEST_00901,2
TEST_00902,1
TEST_00903,0
TEST_00904,2
TEST_00905,1
TEST_00906,2
TEST_00907,3
TEST_00908,1
TEST_00909,0
TEST_00910,1
TEST_00911,2
TEST_00912,1
TEST_00913,0
TEST_00914,0
TEST_00915,2
TEST_00916,3
TEST_00917,3
TEST_00918,2
TEST_00919,6
TEST_00920,2
TEST_00921,3
TEST_00922,3
TEST_00923,3
TEST_00924,1
TEST_00925,3
TEST_00926,5
TEST_00927,2
TEST_00928,3
TEST_00929,0
TEST_00930,2
TEST_00931,2
TEST_00932,4
TEST_00933,2
TEST_00934,2
TEST_00935,3
TEST_00936,3
TEST_00937,5
TEST_00938,3
TEST_00939,2
TEST_00940,0
TEST_00941,0
TEST_00942,1
TEST_00943,4
TEST_00944,0
TEST_00945,0
TEST_00946,1
TEST_00947,0
TEST_00948,0
TEST_00949,1
TEST_00950,2
TEST_00951,3
TEST_00952,3
TEST_00953,2
TEST_00954,1
TEST_00955,4
TEST_00956,1
TEST_00957,2
TEST_00958,5
TEST_00959,2
TEST_00960,1
TEST_00961,2
TEST_00962,0
TEST_00963,0
TEST_00964,1
TEST_00965,1
TEST_00966,0
TEST_00967,2
TEST_00968,2
TEST_00969,3
TEST_00970,3
TEST_00971,0
TEST_00972,0
TEST_00973,2
TEST_00974,1
TEST_00975,3
TEST_00976,0
TEST_00977,0
TEST_00978,2
TEST_00979,1
TEST_00980,0
TEST_00981,2
TEST_00982,1
TEST_00983,1
TEST_00984,1
TEST_00985,2
TEST_00986,0
TEST_00987,2
TEST_00988,1
TEST_00989,2
TEST_00990,3
TEST_00991,1
TEST_00992,2
TEST_00993,1
TEST_00994,2
TEST_00995,2
TEST_00996,0
TEST_00997,1
TEST_00998,1
TEST_00999,2
TEST_01000,1
TEST_01001,0
TEST_01002,0
TEST_01003,0
TEST_01004,3
TEST_01005,2
TEST_01006,2
TEST_01007,5
TEST_01008,1
TEST_01009,2
TEST_01010,2
TEST_01011,0
TEST_01012,1
TEST_01013,2
TEST_01014,0
TEST_01015,2
TEST_01016,4
TEST_01017,0
TEST_01018,1
TEST_01019,1
TEST_01020,1
TEST_01021,1
TEST_01022,3
TEST_01023,1
TEST_01024,2
TEST_01025,1
TEST_01026,2
TEST_01027,0
TEST_01028,1
TEST_01029,1
TEST_01030,2
TEST_01031,2
TEST_01032,0
TEST_01033,0
TEST_01034,1
TEST_01035,4
TEST_01036,3
TEST_01037,0
TEST_01038,1
TEST_01039,2
TEST_01040,2
TEST_01041,1
TEST_01042,1
TEST_01043,1
TEST_01044,3
TEST_01045,1
TEST_01046,2
TEST_01047,2
TEST_01048,0
TEST_01049,1
TEST_01050,1
TEST_01051,3
TEST_01052,3
TEST_01053,1
TEST_01054,0
TEST_01055,2
TEST_01056,1
TEST_01057,1
TEST_01058,3
TEST_01059,1
TEST_01060,3
TEST_01061,0
TEST_01062,0
TEST_01063,2
TEST_01064,2
TEST_01065,0
TEST_01066,5
TEST_01067,4
TEST_01068,1
TEST_01069,1
TEST_01070,2
TEST_01071,2
TEST_01072,1
TEST_01073,2
TEST_01074,2
TEST_01075,0
TEST_01076,3
TEST_01077,1
TEST_01078,2
TEST_01079,3
TEST_01080,0
TEST_01081,3
TEST_01082,1
TEST_01083,2
TEST_01084,2
TEST_01085,3
TEST_01086,2
TEST_01087,0
TEST_01088,1
TEST_01089,3
TEST_01090,4
TEST_01091,1
TEST_01092,3
TEST_01093,1
TEST_01094,1
TEST_01095,3
TEST_01096,1
TEST_01097,0
TEST_01098,2
TEST_01099,2
TEST_01100,1
TEST_01101,2
TEST_01102,2
TEST_01103,2
TEST_01104,2
TEST_01105,4
TEST_01106,3
TEST_01107,1
TEST_01108,2
TEST_01109,2
TEST_01110,0
TEST_01111,1
TEST_01112,1
TEST_01113,1
TEST_01114,1
TEST_01115,2
TEST_01116,3
TEST_01117,4
TEST_01118,0
TEST_01119,3
TEST_01120,5
TEST_01121,2
TEST_01122,2
TEST_01123,1
TEST_01124,2
TEST_01125,4
TEST_01126,3
TEST_01127,0
TEST_01128,0
TEST_01129,1
TEST_01130,3
TEST_01131,1
TEST_01132,5
TEST_01133,3
TEST_01134,1
TEST_01135,1
TEST_01136,1
TEST_01137,2
TEST_01138,2
TEST_01139,0
TEST_01140,0
TEST_01141,2
TEST_01142,1
TEST_01143,5
TEST_01144,2
TEST_01145,2
TEST_01146,3
TEST_01147,2
TEST_01148,1
TEST_01149,3
TEST_01150,1
TEST_01151,1
TEST_01152,0
TEST_01153,2
TEST_01154,3
TEST_01155,2
TEST_01156,4
TEST_01157,3
TEST_01158,1
TEST_01159,4
TEST_01160,0
TEST_01161,2
TEST_01162,3
TEST_01163,1
TEST_01164,0
TEST_01165,1
TEST_01166,1
TEST_01167,1
TEST_01168,3
TEST_01169,1
TEST_01170,1
TEST_01171,0
TEST_01172,0
TEST_01173,2
TEST_01174,1
TEST_01175,0
TEST_01176,3
TEST_01177,2
TEST_01178,2
TEST_01179,1
TEST_01180,2
TEST_01181,0
TEST_01182,3
TEST_01183,2
TEST_01184,1
TEST_01185,1
TEST_01186,1
TEST_01187,0
TEST_01188,2
TEST_01189,1
TEST_01190,0
TEST_01191,0
TEST_01192,0
TEST_01193,4
TEST_01194,3
TEST_01195,3
TEST_01196,1
TEST_01197,3
TEST_01198,4
TEST_01199,0
TEST_01200,0
TEST_01201,1
TEST_01202,2
TEST_01203,2
TEST_01204,2
TEST_01205,2
TEST_01206,1
TEST_01207,2
TEST_01208,2
TEST_01209,3
TEST_01210,0
TEST_01211,2
TEST_01212,0
TEST_01213,1
TEST_01214,1
TEST_01215,2
TEST_01216,4
TEST_01217,4
TEST_01218,1
TEST_01219,1
TEST_01220,2
TEST_01221,5
TEST_01222,3
TEST_01223,5
TEST_01224,0
TEST_01225,1
TEST_01226,2
TEST_01227,2
TEST_01228,0
TEST_01229,2
TEST_01230,1
TEST_01231,1
TEST_01232,4
TEST_01233,2
TEST_01234,2
TEST_01235,1
TEST_01236,3
TEST_01237,0
TEST_01238,0
TEST_01239,3
TEST_01240,1
TEST_01241,1
TEST_01242,1
TEST_01243,1
TEST_01244,4
TEST_01245,3
TEST_01246,1
TEST_01247,1
TEST_01248,0
TEST_01249,1
TEST_01250,4
TEST_01251,3
TEST_01252,3
TEST_01253,0
TEST_01254,1
TEST_01255,3
TEST_01256,0
TEST_01257,2
TEST_01258,5
TEST_01259,3
TEST_01260,0
TEST_01261,3
TEST_01262,6
TEST_01263,0
TEST_01264,2
TEST_01265,0
TEST_01266,0
TEST_01267,1
TEST_01268,3
TEST_01269,1
TEST_01270,2
TEST_01271,0
TEST_01272,1
TEST_01273,2
TEST_01274,1
TEST_01275,2
TEST_01276,2
TEST_01277,2
TEST_01278,2
TEST_01279,4
TEST_01280,0
TEST_01281,3
TEST_01282,4
TEST_01283,2
TEST_01284,0
TEST_01285,3
TEST_01286,1
TEST_01287,2
TEST_01288,2
TEST_01289,1
TEST_01290,0
TEST_01291,2
TEST_01292,0
TEST_01293,2
TEST_01294,4
TEST_01295,3
TEST_01296,1
TEST_01297,1
TEST_01298,2
TEST_01299,2
TEST_01300,1
TEST_01301,2
TEST_01302,1
TEST_01303,0
TEST_01304,3
TEST_01305,2
TEST_01306,1
TEST_01307,1
TEST_01308,1
TEST_01309,0
TEST_01310,0
TEST_01311,1
TEST_01312,2
TEST_01313,3
TEST_01314,2
TEST_01315,2
TEST_01316,1
TEST_01317,2
TEST_01318,3
TEST_01319,0
TEST_01320,2
TEST_01321,2
TEST_01322,2
TEST_01323,4
TEST_01324,2
TEST_01325,4
TEST_01326,2
TEST_01327,1
TEST_01328,0
TEST_01329,2
TEST_01330,1
TEST_01331,2
TEST_01332,4
TEST_01333,2
TEST_01334,1
TEST_01335,2
TEST_01336,4
TEST_01337,4
TEST_01338,1
TEST_01339,3
TEST_01340,4
TEST_01341,2
TEST_01342,1
TEST_01343,1
TEST_01344,5
TEST_01345,0
TEST_01346,1
TEST_01347,0
TEST_01348,0
TEST_01349,1
TEST_01350,2
TEST_01351,3
TEST_01352,0
TEST_01353,1
TEST_01354,2
TEST_01355,1
TEST_01356,1
TEST_01357,0
TEST_01358,0
TEST_01359,1
TEST_01360,1
TEST_01361,2
TEST_01362,4
TEST_01363,1
TEST_01364,0
TEST_01365,1
TEST_01366,3
TEST_01367,1
TEST_01368,2
TEST_01369,1
TEST_01370,4
TEST_01371,2
TEST_01372,1
TEST_01373,2
TEST_01374,0
TEST_01375,0
TEST_01376,1
TEST_01377,2
TEST_01378,3
TEST_01379,5
TEST_01380,1
TEST_01381,1
TEST_01382,0
TEST_01383,0
TEST_01384,2
TEST_01385,3
TEST_01386,3
TEST_01387,2
TEST_01388,0
TEST_01389,1
TEST_01390,4
TEST_01391,0
TEST_01392,0
TEST_01393,2
TEST_01394,2
TEST_01395,1
TEST_01396,1
TEST_01397,2
TEST_01398,1
TEST_01399,2
TEST_01400,1
TEST_01401,0
TEST_01402,0
TEST_01403,1
TEST_01404,1
TEST_01405,0
TEST_01406,3
TEST_01407,0
TEST_01408,2
TEST_01409,2
TEST_01410,3
TEST_01411,0
TEST_01412,3
TEST_01413,1
TEST_01414,3
TEST_01415,1
TEST_01416,3
TEST_01417,2
TEST_01418,1
TEST_01419,2
TEST_01420,1
TEST_01421,1
TEST_01422,0
TEST_01423,2
TEST_01424,1
TEST_01425,2
TEST_01426,1
TEST_01427,2
TEST_01428,1
TEST_01429,3
TEST_01430,4
TEST_01431,0
TEST_01432,2
TEST_01433,1
TEST_01434,0
TEST_01435,3
TEST_01436,2
TEST_01437,1
TEST_01438,1
TEST_01439,0
TEST_01440,3
TEST_01441,2
TEST_01442,1
TEST_01443,0
TEST_01444,0
TEST_01445,2
TEST_01446,4
TEST_01447,5
TEST_01448,0
TEST_01449,2
TEST_01450,2
TEST_01451,2
TEST_01452,3
TEST_01453,4
TEST_01454,1
TEST_01455,1
TEST_01456,0
TEST_01457,2
TEST_01458,6
TEST_01459,0
TEST_01460,1
TEST_01461,2
TEST_01462,1
TEST_01463,4
TEST_01464,4
TEST_01465,2
TEST_01466,2
TEST_01467,3
TEST_01468,3
TEST_01469,3
TEST_01470,0
TEST_01471,1
TEST_01472,0
TEST_01473,2
TEST_01474,2
TEST_01475,1
TEST_01476,2
TEST_01477,2
TEST_01478,1
TEST_01479,2
TEST_01480,3
TEST_01481,1
TEST_01482,2
TEST_01483,1
TEST_01484,1
TEST_01485,2
TEST_01486,0
TEST_01487,1
TEST_01488,1
TEST_01489,2
TEST_01490,2
TEST_01491,1
TEST_01492,0
TEST_01493,2
TEST_01494,3
TEST_01495,1
TEST_01496,3
TEST_01497,2
TEST_01498,1
TEST_01499,1
TEST_01500,2
TEST_01501,0
TEST_01502,0
TEST_01503,1
TEST_01504,3
TEST_01505,2
TEST_01506,2
TEST_01507,1
TEST_01508,1
TEST_01509,1
TEST_01510,0
TEST_01511,0
TEST_01512,1
TEST_01513,2
TEST_01514,1
TEST_01515,4
TEST_01516,3
TEST_01517,1
TEST_01518,0
TEST_01519,5
TEST_01520,0
TEST_01521,3
TEST_01522,1
TEST_01523,1
TEST_01524,5
TEST_01525,1
TEST_01526,1
TEST_01527,1
TEST_01528,3
TEST_01529,1
TEST_01530,3
TEST_01531,1
TEST_01532,4
TEST_01533,2
TEST_01534,1
TEST_01535,3
TEST_01536,0
TEST_01537,1
TEST_01538,0
TEST_01539,2
TEST_01540,6
TEST_01541,1
TEST_01542,0
TEST_01543,1
TEST_01544,1
TEST_01545,0
TEST_01546,2
TEST_01547,1
TEST_01548,1
TEST_01549,4
TEST_01550,0
TEST_01551,2
TEST_01552,0
